,htid,title,author,title_htrc,date,pub_date_htrc
239,dul1.ark:/13960/t7np2v121,Looking beyond,"Geissler, Ludwig A,","Looking beyond/Geissler, Ludwig A.",1971,1891
240,uc1.b5298900,Margaret and I,"Wilhelm, Kate","A comparative study of the style of Goethe's Wilhelm Meisters theatralische sendung and Wilhelm Meisters lehrjahr/Little, Margaret.",1971,1913
241,,The Byworlder,"Anderson, Poul",,1971,
242,uc1.$b404260,The Devil is Dead,"Lafferty, R. A.","The devil is dead/Lafferty, R. A.",1971,1977
243,mdp.39015002289877,The Lathe of Heaven,Le Guin Ursula K.,"The lathe of heaven/Le Guin, Ursula K.,",1971,1971
244,mdp.49015000679887,To Your Scattered Bodies Go,"Farmer, Philip Jos","To your scattered bodies go/Farmer, Philip José.",1971,1971
245,mdp.39015015390787,A Choice of Gods,"Simak, Clifford D.","A choice of gods/Simak, Clifford D.,",1972,1971
246,,Dying Inside,"Silverberg, Robert",,1972,
247,mdp.39015010912247,The Book of Skulls,"Silverberg, Robert","The book of skulls/Silverberg, Robert.",1972,1972
248,mdp.39015020729649,The Gods Themselves,"Asimov, Isaac","The gods themselves/Asimov, Isaac,",1972,1972
249,mdp.39015008587365,The Iron Dream,"Spinrad, Norman","The iron dream/Spinrad, Norman.",1972,1977
250,mdp.39015019165045,The Sheep Look Up,"Brunner, John","The sheep look up/Brunner, John,",1972,1972
251,inu.30000082136767,The Stepford wives,"Levin, Ira,","The Stepford wives/Levin, Ira.",1972,1972
252,mdp.39015002154931,There Will Be Time,"Anderson, Poul","There will be time/Anderson, Poul,",1972,1972
253,mdp.39015022652468,What Entropy Means to Me,"Effinger, George Alec","What entropy means to me/Effinger, George Alec.",1972,1973
254,mdp.39015023544888,When HARLIE Was One,"Gerrold, David","When Harlie was one/Gerrold, David,",1972,1972
255,uc1.32106015466755,Breakfast of Champions,"Vonnegut, Kurt,","Breakfast of champions;/Vonnegut, Kurt.",1973,1973
256,mdp.39015066065254,Gravity's Rainbow,"Pynchon, Thomas","Gravity's rainbow/Pynchon, Thomas.",1973,1973
257,,Herovit's world,"Malzberg, Barry N,",,1973,
258,,Protector,"Niven, Larry",,1973,
259,uc1.32106012964117,Rendezvous with Rama,"Clarke, Arthur C.","Rendezvous with Rama/ (Arthur Charles),  Clarke, Arthur C. ",1973,1973
260,mdp.49015000682998,The Man Who Folded Himself,"Gerrold, David","The man who folded himself/Gerrold, David,",1973,1976
261,None,The People of the Wind,"Anderson, Poul",,1973,
262,mdp.39015005004877,Time Enough for Love,"Heinlein, Robert A.","Time enough for love/(Robert Anson), Heinlein, Robert A.",1973,1973
263,,334,"Disch, Thomas M.","334/Disch, Thomas M.",1974,1976
264,,Fire Time,"Anderson, Poul",,1974,
265,mdp.39015007043337,"Flow My Tears, the Policeman Said","Dick, Philip K.","Flow my tears, the policeman said/Dick, Philip K.",1974,1976
266,mdp.39015056811675,Inverted World,"Priest, Christopher","The inverted world/Priest, Christopher.",1974,1974
267,mdp.39015010418294,The Dispossessed,"Le Guin, Ursula K.","The dispossessed/Le Guin, Ursula K.,",1974,1974
268,,The Godwhale,"Bass, T. J.",,1974,
269,mdp.39015008543426,The Mote in God's Eye,"Niven, Larry, Pournelle, Jerry","The mote in God's eye/Niven, Larry.",1974,1974
270,,A Funeral for the Eyes of Fire,"Bishop, Michael",,1975,
271,uc1.32106018320967,A Midsummer Tempest,"Anderson, Poul","A midsummer tempest/Anderson, Poul,",1975,1974
272,,Autumn Angels,"Cover, Arthur Byron",,1975,
273,,Dhalgren,"Delany, Samuel R.",,1975,
274,mdp.39015034647167,Doorways in the Sand,"Zelazny, Roger","Doorways in the sand/Zelazny, Roger.",1975,1977
275,None,Guernica Night,"Malzberg, Barry N.",,1975,
